Transport.toFinished.14 	 moves for 15.733655765652657 	 Part.c.15 	 at time 27.960855171669206.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 27.960855171669206.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 28.263425474854834.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.263425474854834.
MachineShop.MachineShop.1 	 resumes 	 Part.c.20 	 at time 28.28342070357569.
Part.c.20 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.28342070357569.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 28.405299662323372.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.405299662323372.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 28.4668747483709.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.4668747483709.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 28.565995778040463.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.565995778040463.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 28.63998412612181.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.63998412612181.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 28.868566081226092.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.868566081226092.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 28.97788324131531.
Resource.Machine1.5 	 releases 	 Part.c.16 	 at time 28.97788324131531.
Transport.toMachine2.11 	 moves for 10.535896788351238 	 Part.c.16 	 at time 28.97788324131531.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 28.97788324131531.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 29.055094070676418.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 29.055094070676418.
MachineShop.MachineShop.1 	 resumes 	 Part.c.20 	 at time 29.10905217562497.
Part.c.20 	 resumes 	 MachineShop.MachineShop.1 	 at time 29.10905217562497.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 29.17113638441172.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 29.17113638441172.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 29.380848786230487.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 29.380848786230487.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 29.47370668759735.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 29.47370668759735.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 29.504678080732873.
